page,title,speaker,views_times,cate
1,How does artificial intelligence learn?,Briana Brownell,Mar 2021,AI
1,The danger of AI is weirder than you think,Janelle Shane,Oct 2019,AI
1,The wonderful and terrifying implications of computers that can learn,Jeremy Howard,Dec 2014,AI
1,How do we find dignity at work?,Roy Bahat and Bryn Freedman,Feb 2019,AI
1,The incredible inventions of intuitive AI,Maurice Conti,Feb 2017,AI
1,How AI can bring on a second Industrial Revolution,Kevin Kelly,Dec 2016,AI
1,"How AI can enhance our memory, work and social lives",Tom Gruber,Aug 2017,AI
1,We're building a dystopia just to make people click on ads,Zeynep Tufekci,Oct 2017,AI
1,How AI can save our humanity,Kai-Fu Lee,Aug 2018,AI
1,Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,May 2018,AI
1,How AI can help shatter barriers to equality,Jamila Gordon,Jan 2021,AI
1,A future worth getting excited about,Elon Musk,Apr 2022,AI
1,What happens in your brain when you pay attention?,Mehdi Ordikhani-Seyedlar,Jun 2017,AI
1,Intelligent floating machines inspired by nature,Anicka Yi,Aug 2022,AI
1,What if you could sing in your favorite musician's voice?,Holly Herndon,Sep 2022,AI
1,"Meet Milo, the virtual boy",Peter Molyneux,Aug 2010,AI
1,Can a computer write poetry?,Oscar Schwartz,Jan 2016,AI
1,"Building ""self-aware"" robots",Hod Lipson,Oct 2007,AI
1,"How to get empowered, not overpowered, by AI",Max Tegmark,Jun 2018,AI
1,A bold idea to replace politicians,César Hidalgo,Mar 2019,AI
1,The medical potential of AI and metabolites,Leila Pirhaji,Oct 2019,AI
1,An AI smartwatch that detects seizures,Rosalind Picard,Apr 2019,AI
1,Art in the age of machine intelligence,Refik Anadol,Aug 2020,AI
1,"How do self-driving cars ""see""?",Sajan Saini,May 2019,AI
1,A new equation for intelligence,Alex Wissner-Gross,Feb 2014,AI
1,How we'll earn money in a future without jobs,Martin Ford,Oct 2017,AI
1,The ethical dilemma of self-driving cars,Patrick Lin,Dec 2015,AI
1,AI-generated creatures that stretch the boundaries of imagination,Sofia Crespo,Nov 2022,AI
1,A new way to restore Earth's biodiversity — from the air,Susan Graham,Sep 2021,AI
1,Get ready for hybrid thinking,Ray Kurzweil,Jun 2014,AI
1,Can we build AI without losing control over it?,Sam Harris,Sep 2016,AI
1,"A friendly, autonomous robot that delivers your food",Ali Kashani,Jul 2020,AI
1,Is humanity smart enough to survive itself?,Jeanette Winterson,Aug 2022,AI
1,How AI could empower any business,Andrew Ng,Sep 2022,AI
1,4 lessons from robots about being human,Ken Goldberg,May 2012,AI
1,The value of your humanity in an automated future,Kevin Roose,Feb 2021,AI
2,How do we learn to work with intelligent machines?,Matt Beane,Feb 2019,AI
2,How AI could become an extension of your mind,Arnav Kapur,May 2019,AI
2,3 myths about the future of work (and why they're not true),Daniel Susskind,Mar 2018,AI
2,"Watson, Jeopardy and me, the obsolete know-it-all",Ken Jennings,Apr 2013,AI
2,How bad data keeps us from good AI,Mainak Mazumdar,Jan 2021,AI
2,How we're teaching computers to understand pictures,Fei-Fei Li,Mar 2015,AI
2,Technology that knows what you're feeling,Poppy Crum,Jun 2018,AI
2,Where's Google going next?,Larry Page,Mar 2014,AI
2,How to keep human bias out of AI,Kriti Sharma,Mar 2019,AI
2,Machine intelligence makes human morals more important,Zeynep Tufekci,Oct 2016,AI
2,The line between life and not-life,Martin Hanczyc,Nov 2011,AI
2,Robots that fly ... and cooperate,Vijay Kumar,Mar 2012,AI
2,How computers are learning to be creative,Blaise Agüera y Arcas,Jun 2016,AI
2,Don't fear superintelligent AI,Grady Booch,Feb 2017,AI
2,Why we need to imagine different futures,Anab Jain,Jun 2017,AI
2,How computers learn to recognize objects instantly,Joseph Redmon,Aug 2017,AI
2,"How we can build AI to help humans, not hurt us",Margaret Mitchell,Feb 2018,AI
2,"Siri, Alexa, Google ... what comes next?",Karen Lellouche Tordjman,Dec 2021,AI
2,How civilization could destroy itself — and 4 ways we could prevent it,Nick Bostrom,Dec 2019,AI
2,3 principles for creating safer AI,Stuart Russell,May 2017,AI
2,The 4 greatest threats to the survival of humanity, TED-Ed,Jul 2022,AI
2,The rise of personal robots,Cynthia Breazeal,Feb 2011,AI
2,"Connected, but alone?",Sherry Turkle,Apr 2012,AI
2,Robots will invade our lives,Rodney Brooks,Sep 2008,AI
2,An animated tour of the invisible,John Lloyd,Sep 2012,AI
2,How we can teach computers to make sense of our emotions,Raphael Arar,Apr 2018,AI
2,A fascinating time capsule of human feelings toward AI,Lucy Farey-Jones,Mar 2020,AI
2,How humans and AI can work together to create better businesses,Sylvain Duranton,Jan 2020,AI
2,Can machines read your emotions?,Kostas Karpouzis,Nov 2016,AI
2,How brain science will change computing,Jeff Hawkins,May 2007,AI
2,What moral decisions should driverless cars make?,Iyad Rahwan,Aug 2017,AI
2,AI isn't as smart as you think — but it could be,Jeff Dean,Oct 2021,AI
2,What happens when our computers get smarter than we are?,Nick Bostrom,Apr 2015,AI
2,The human skills we need in an unpredictable world,Margaret Heffernan,Aug 2019,AI
2,The jobs we'll lose to machines — and the ones we won't,Anthony Goldbloom,Aug 2016,AI
2,Can we learn to talk to sperm whales?,David Gruber,Apr 2021,AI
3,A new way to monitor vital signs (that can see through walls),Dina Katabi,Jul 2018,AI
3,Can we learn to talk to sperm whales?,David Gruber,Apr 2021,AI
3,Why people and AI make good business partners,Shervin Khodabandeh,Apr 2022,AI
3,What would happen if we upload our brains to computers?,Robin Hanson,Aug 2017,AI
3,"Robots with ""soul""",Guy Hoffman,Jan 2014,AI
3,How I'm using biological data to tell better stories — and spark social change,Heidi Boisvert,Dec 2019,AI
3,Silicon-based comedy,Heather Knight,Jan 2011,AI
3,The rise of human-computer cooperation,Shyam Sankar,Sep 2012,AI
3,"The Greek myth of Talos, the first robot",Adrienne Mayor,Oct 2019,AI
3,A future with fewer cars,Freeman H. Shen,Aug 2021,AI
3,What intelligent machines can learn from a school of fish,Radhika Nagpal,Sep 2017,AI
3,How AI is making it easier to diagnose disease,Pratik Shah,Jul 2018,AI
3,The real reason for brains,Daniel Wolpert,Nov 2011,AI
3,My seven species of robot — and how we created them,Dennis Hong,Apr 2010,AI
3,The race to build AI that benefits humanity with Sam Altman,The TED Interview,Apr 2021,AI
3,How deepfakes undermine truth and threaten democracy,Danielle Citron,Sep 2019,AI
3,Can a robot pass a university entrance exam?,Noriko Arai,Aug 2017,AI
3,What AI is — and isn't,Sebastian Thrun and Chris Anderson,Nov 2017,AI
3,Could you recover from illness ... using your own stem cells?,Nabiha Saklayen,Sep 2021,AI
3,How new technology helps blind people explore the world,Chieko Asakawa,Dec 2015,AI
3,How AI could compose a personalized soundtrack to your life,Pierre Barreau,Sep 2018,AI
3,"How to be ""Team Human"" in the digital future",Douglas Rushkoff,Dec 2018,AI
3,6 big ethical questions about the future of AI ,Genevieve Bell,Dec 2020,AI
3,What is deep tech? A look at how it could shape the future,Antoine Gourévitch,Mar 2021,AI
3,Don't fear intelligent machines. Work with them,Garry Kasparov,May 2017,AI
3,How I'm fighting bias in algorithms,Joy Buolamwini,Mar 2017,AI
3,Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,Jul 2018,AI
3,How we're using AI to discover new antibiotics,Jim Collins,May 2020,AI
3,A funny look at the unintended consequences of technology,Chuck Nice,Feb 2018,AI
3,"How to get better at video games, according to babies",Brian Christian,Nov 2021,AI
3,A sci-fi vision of life in 2041,Chen Qiufan,Sep 2021,AI
1,We're covered in germs. Let's design for that.,Jessica Green,Mar 2013,Climate change
1,Our moral imperative to act on climate change — and 3 steps we can take (English voiceover),His Holiness Pope Francis,Jan 2021,Climate change
1,"Global warming's theme song, ""Manhattan in January""",Jill Sobule,Apr 2007,Climate change
1,A 40-year plan for energy,Amory Lovins,May 2012,Climate change
1,Can the ocean run out of oxygen?,Kate Slabosky,Aug 2020,Climate change
1,Whatever happened to acid rain?,Joseph Goffman,Apr 2021,Climate change
1,"How we'll resurrect the gastric brooding frog, the Tasmanian tiger",Michael Archer,Jun 2013,Climate change
1,Fusion is energy's future,Steven Cowley,Dec 2009,Climate change
1,"An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,Jul 2019,Climate change
1,Humanity's planet-shaping powers — and what they mean for the future,Achim Steiner,Jan 2021,Climate change
1,The energy Africa needs to develop — and fight climate change,Rose M. Mutiso,Nov 2020,Climate change
1,The secrets I find on the mysterious ocean floor,Laura Robinson,Mar 2016,Climate change
1,American bipartisan politics can be saved — here's how,Bob Inglis,Jan 2018,Climate change
1,Why wildfires have gotten worse — and what we can do about it,Paul Hessburg,Nov 2017,Climate change
1,A wide-angle view of fragile Earth,Yann Arthus-Bertrand,Jun 2009,Climate change
1,The innovations we need to avoid a climate disaster,Bill Gates,Mar 2021,Climate change
1,"What farmers need to be modern, climate-friendly and profitable",Beth Ford,May 2021,Climate change
1,Why we should archive everything on the planet,Chris Fisher,Oct 2019,Climate change
1,How shocking events can spark positive change,Naomi Klein,Mar 2018,Climate change
1,Why you should be a climate activist,Luisa Neubauer,Sep 2019,Climate change
1,This sea creature breathes through its butt,Cella Wright,Apr 2020,Climate change
1,Global priorities bigger than climate change,Bjorn Lomborg,Jan 2007,Climate change
1,"The ""myth"" of the boiling frog", TED-Ed,Feb 2021,Climate change
1,Why bees are disappearing,Marla Spivak,Sep 2013,Climate change
1,"Vultures: The acid-puking, plague-busting heroes of the ecosystem",Kenny Coogan,Feb 2020,Climate change
1,How small countries can make a big impact on climate change,Nicola Sturgeon,Nov 2021,Climate change
1,Why I protest for climate justice,Jane Fonda,Dec 2019,Climate change
1,Why act now?,Kristen Bell + Giant Ant,Oct 2020,Climate change
1,The state of the climate — and what we might do about it,Lord Nicholas Stern,Sep 2014,Climate change
1,Metal that breathes,Doris Kim Sung,Oct 2012,Climate change
1,3 thoughtful ways to conserve water,Lana Mazahreh,Jan 2018,Climate change
1,Hooked by an octopus,Mike deGruy,Feb 2012,Climate change
1,Why is the world warming up?,Kristen Bell + Giant Ant,Oct 2020,Climate change
1,A reality check on renewables,David MacKay,May 2012,Climate change
1,How to turn climate anxiety into action,Renée Lertzman,Mar 2020,Climate change
1,What comes after An Inconvenient Truth?,Al Gore,May 2009,Climate change
2,What if cracks in concrete could fix themselves?,Congrui Jin,Oct 2018,Climate change
2,A small country with big ideas to get rid of fossil fuels,Monica Araya,Aug 2016,Climate change
2,We need to track the world's water like we track the weather,Sonaar Luthra,Sep 2019,Climate change
2,How to shift your mindset and choose your future,Tom Rivett-Carnac,Apr 2020,Climate change
2,Can seaweed help curb global warming?,Tim Flannery,Sep 2019,Climate change
2,What to do when climate change feels unstoppable,Clover Hogan,Jun 2021,Climate change
2,The case for optimism on climate change,Al Gore,Feb 2016,Climate change
2,The magic of the Amazon: A river that flows invisibly all around us,Antonio Donato Nobre,Sep 2014,Climate change
2,How to transform sinking cities into landscapes that fight floods,Kotchakorn Voraakhom,Jan 2019,Climate change
2,What nature can teach us about sustainable business,Erin Meezan,Feb 2022,Climate change
2,The ocean's ingenious climate solutions,Susan Ruffo,Feb 2022,Climate change
2,3 ways your company's data can jump-start climate action,Massimo Russo,Mar 2022,Climate change
2,Life in Biosphere 2,Jane Poynter,Jun 2009,Climate change
2,Emergency medicine for our climate fever,Kelly Wanser,Aug 2019,Climate change
2,How to be a good ancestor,Roman Krznaric,Oct 2020,Climate change
2,Community investment is the missing piece of climate action,Dawn Lippert,Dec 2021,Climate change
2,The untapped energy source that could power the planet,Jamie C. Beard,Sep 2021,Climate change
2,It's impossible to have healthy people on a sick planet,Shweta Narayan,Nov 2021,Climate change
2,How China is (and isn't) fighting pollution and climate change,Angel Hsu,Aug 2018,Climate change
2,5 transformational policies for a prosperous and sustainable world,Johan Rockström,Oct 2018,Climate change
2,A new way to remove CO2 from the atmosphere,Jennifer Wilcox,Jul 2018,Climate change
2,A bold plan to protect 30 percent of the Earth's surface and ocean floor,Enric Sala,Nov 2021,Climate change
2,"The ""greenhouse-in-a-box"" empowering farmers in India",Sathya Raghu Mokkapati,Feb 2022,Climate change
2,Where does all the carbon we release go?,Kristen Bell + Giant Ant,Oct 2020,Climate change
2,What if there were 1 trillion more trees?,Jean-François Bastin,Oct 2020,Climate change
2,The hidden wonders of soil,Jane Zelikova,Jun 2022,Climate change
2,Africa's great carbon valley — and how to end energy poverty,James Irungu Mwangi,Jun 2022,Climate change
2,The eco-creators helping the climate through social media,Zahra Biabani,Jul 2022,Climate change
2,How to find joy in climate action,Ayana Elizabeth Johnson,Jun 2022,Climate change
2,An interactive map to track (and end) pollution in China,Ma Jun,Aug 2021,Climate change
2,How we can curb climate change by spending two percent more on everything,Jens Burchardt,Apr 2021,Climate change
2,The wonderful world of life in a drop of water,Simone Bianco and Tom Zimmerman,Mar 2018,Climate change
2,Can clouds buy us more time to solve climate change?,Kate Marvel,Jul 2017,Climate change
2,A new economic model for protecting tropical forests ,Nat Keohane,Apr 2022,Climate change
2,What seaweed and cow burps have to do with climate change,Ermias Kebreab,Mar 2022,Climate change
2,How to make radical climate action the new normal,Al Gore,Nov 2021,Climate change
3,A bold plan to protect 30 percent of the Earth's surface and ocean floor,Enric Sala,Nov 2021,Climate change
3,How to make radical climate action the new normal,Al Gore,Nov 2021,Climate change
3,The 55 gigaton challenge,Countdown,Oct 2021,Climate change
3,Why don't we cover the desert with solar panels?,Dan Kwartler,Oct 2021,Climate change
3,A new economic model for protecting tropical forests ,Nat Keohane,Apr 2022,Climate change
3,What seaweed and cow burps have to do with climate change,Ermias Kebreab,Mar 2022,Climate change
3,How to find joy in climate action,Ayana Elizabeth Johnson,Jun 2022,Climate change
3,The science behind a climate headline,Rachel Pike,Nov 2009,Climate change
3,The race to a zero-emission world starts now	,António Guterres,Oct 2020,Climate change
3,How we can turn the tide on climate,Christiana Figueres and Chris Anderson,Dec 2019,Climate change
3,Plant fuels that could power a jet,Bilal Bomani,Jan 2012,Climate change
3,Amazon's climate pledge to be net-zero by 2040,Dave Clark and Kara Hurst,Oct 2020,Climate change
3,The discoveries awaiting us in the ocean's twilight zone,Heidi M. Sosik,Jun 2018,Climate change
3,Ecology from the air,Greg Asner,Nov 2013,Climate change
3,How we can detect pretty much anything,Hélène Morlon and Anna Papadopoulou,Aug 2021,Climate change
3,Hopeful lessons from the battle to save rainforests,Tasso Azevedo,Jan 2015,Climate change
3,How we look kilometers below the Antarctic ice sheet,Dustin Schroeder,Mar 2018,Climate change
3,My country will be underwater soon — unless we work together,Anote Tong,Nov 2015,Climate change
3,The secret life of plankton,Tierney Thys and Plankton Chronicles Project,Apr 2012,Climate change
3,"The big-beaked, rock-munching fish that protect coral reefs",Mike Gil,Aug 2020,Climate change
3,Energy from floating algae pods,Jonathan Trent,Sep 2012,Climate change
3,Apple's promise to be carbon neutral by 2030,Lisa Jackson and Liz Ogbu,Oct 2020,Climate change
3,"Urbanization and the evolution of cities across 10,000 years",Vance Kite,Sep 2013,Climate change
3,Let's scan the whole planet with LiDAR,Chris Fisher,Aug 2020,Climate change
3,Why are blue whales so enormous?,Asha de Vos,Feb 2013,Climate change
3,Why is cotton in everything?,Michael R. Stiff,Jan 2020,Climate change
3,The Arctic vs. the Antarctic,Camille Seaman,Aug 2013,Climate change
3,The lovable (and lethal) sea lion,Claire Simeone,May 2019,Climate change
3,Why I still have hope for coral reefs,Kristen Marhaver,Jul 2017,Climate change
3,Is the weather actually becoming more extreme?,R. Saravanan,Aug 2020,Climate change
3,Climate change is our reality. Here's how we're taking action,"Al Gore, Gloria Kasang Bulus, Nana Firman, Ximena Loría and Tim Guinee",Mar 2021,Climate change
3,The biggest risks facing cities — and some solutions,Robert Muggah,Nov 2017,Climate change
3,Make your actions on climate reflect your words	,Severn Cullis-Suzuki,Oct 2020,Climate change
3,Why climate change is a threat to human rights,Mary Robinson,Sep 2015,Climate change
3,What a nun can teach a scientist about ecology,Victoria Gill,Feb 2020,Climate change
3,How the military fights climate change,David Titley,Nov 2017,Climate change
1,A brief history of divorce,Rod Phillips,Jan 2021,Relationships
1,Love vs. Honor: The Irish myth of Diarmuid's betrayal,Iseult Gillespie,May 2022,Relationships
1,What emotions look like in a dog's brain,Gregory Berns,Jul 2019,Relationships
1,Beautiful new words to describe obscure emotions,John Koenig,Mar 2017,Relationships
1,Technology hasn't changed love. Here's why,Helen Fisher,Sep 2016,Relationships
1,How reverse mentorship can help create better leaders,Patrice Gordon,Nov 2020,Relationships
1,"""First Kiss""",Tim Seibles,Apr 2019,Relationships
1,What you don't know about marriage,Jenna McCarthy,Feb 2012,Relationships
1,Fifty shades of gay,iO Tillett Wright,Jan 2013,Relationships
1,Intimate photos of a senior love triangle,Isadora Kosofsky,Sep 2018,Relationships
1,How understanding divorce can help your marriage,Jeannie Suk Gersen,Apr 2020,Relationships
1,Want to change the world? Start by being brave enough to care,Cleo Wade,Jan 2018,Relationships
1,"Why we love, why we cheat",Helen Fisher,Sep 2006,Relationships
1,"The keys to a happier, healthier sex life",Emily Nagoski,Jul 2018,Relationships
1,"""Everything happens for a reason"" — and other lies I've loved",Kate Bowler,Jun 2019,Relationships
1,4 signs of emotional abuse,Viann Nguyen-Feng,Mar 2022,Relationships
1,Say your truths and seek them in others,Elizabeth Lesser,Dec 2016,Relationships
1,How to speak up for yourself,Adam Galinsky,Nov 2016,Relationships
1,The truth about faking orgasms,Karen Gurney,Oct 2022,Relationships
1,The therapeutic value of photography,Ryan Pfluger,Nov 2017,Relationships
1,The myth of the original star-crossed lovers,Shannon Zhao,Apr 2022,Relationships
1,"How to co-parent as allies, not adversaries",Ebony Roberts and Shaka Senghor,Apr 2020,Relationships
1,Are we designed to be sexual omnivores?,Christopher Ryan,Feb 2014,Relationships
1,The science of sex,Pere Estupinyà,Feb 2019,Relationships
1,The office without a**holes,WorkLife with Adam Grant,Apr 2019,Relationships
1,How to support yourself (and others) through grief,Nina Westbrook,Jun 2021,Relationships
1,5 ways to create stronger connections,Robert Reffkin,Feb 2020,Relationships
1,Why US laws must expand beyond the nuclear family,Diana Adams,Mar 2022,Relationships
1,How to avoid catching prickly emotions from other people ,Jessica Garza,Jan 2021,Relationships
1,The 100 tampons NASA (almost) sent to space — and other absurd songs,Marcia Belsky,Apr 2022,Relationships
1,How to speed up chemical reactions (and get a date),Aaron Sams,Jun 2012,Relationships
1,What makes life worth living in the face of death,Lucy Kalanithi,May 2017,Relationships
1,The emotions behind your money habits,Robert A. Belle,Jun 2021,Relationships
1,How to have constructive conversations,Julia Dhar,Mar 2021,Relationships
1,7 common questions about workplace romance,Amy Nicole Baker,Dec 2018,Relationships
1,What makes a friendship last? ,Mona Chalabi,Oct 2021,Relationships
2,The secret to great opportunities? The person you haven't met yet,Tanya Menon,Feb 2018,Relationships
2,The relationship between sex and imagination,Gina Gutierrez,Jun 2022,Relationships
2,The most powerful untapped resource in health care,Edith Elliott and Shahed Alam,May 2022,Relationships
2,The journey through loss and grief,Jason B. Rosenthal,Jun 2018,Relationships
2,You are not alone in your loneliness,Jonny Sun,Jun 2019,Relationships
2,The lies our culture tells us about what matters — and a better way to live,David Brooks,Jun 2019,Relationships
2,The benefits of not being a jerk to yourself,Dan Harris,Oct 2022,Relationships
2,Why bittersweet emotions underscore life's beauty,Susan Cain,May 2022,Relationships
2,4 things all great listeners know, TED-Ed,Nov 2022,Relationships
2,How friendship affects your brain,Shannon Odell,Sep 2022,Relationships
2,What you can learn from people who disagree with you,Shreya Joshi,Oct 2022,Relationships
2,Rethinking infidelity ... a talk for anyone who has ever loved,Esther Perel,May 2015,Relationships
2,Why domestic violence victims don't leave,Leslie Morgan Steiner,Jan 2013,Relationships
2,How peer educators can transform sex education,Thea Holcomb,Feb 2019,Relationships
2,An ode to envy,Parul Sehgal,Oct 2013,Relationships
2,The myth of Zeus' test,Iseult Gillespie,Sep 2022,Relationships
2,"""Accents""",Denice Frohman,May 2019,Relationships
2,The mathematics of love,Hannah Fry,Feb 2015,Relationships
2,Should you care what your parents think?, TED-Ed,Oct 2022,Relationships
2,"On tennis, love and motherhood",Serena Williams and Gayle King,Apr 2017,Relationships
2,A little-told tale of sex and sensuality,Shereen El Feki,Jan 2014,Relationships
2,How to stop swiping and find your person on dating apps,Christina Wallace,Jul 2018,Relationships
2,The beauty and complexity of finding common ground,Matt Trombley,Jun 2020,Relationships
2,"How to discover your ""why"" in difficult times",Simon Sinek,May 2021,Relationships
2,A second chance for fathers to connect with their kids,"Charles C. Daniels, Jr.",Jun 2022,Relationships
2,Ethical dilemma: Who should you believe?,Alex Worsnip,Apr 2022,Relationships
2,How compassion could save your strained relationships,Betty Hart,Mar 2021,Relationships
2,This could be why you're depressed or anxious,Johann Hari,Sep 2019,Relationships
2,How couples can sustain a strong sexual connection for a lifetime,Emily Nagoski,Sep 2019,Relationships
2,There's more to life than being happy,Emily Esfahani Smith,Sep 2017,Relationships
2,The science behind how parents affect child development,Yuko Munakata,May 2021,Relationships
2,What young women believe about their own sexual pleasure,Peggy Orenstein,Mar 2017,Relationships
2,The brain in love,Helen Fisher,Jul 2008,Relationships
2,Why art is a tool for hope, JR,Jun 2022,Relationships
2,"The profound power of gratitude and ""living eulogies""",Andrea Driessen,Jul 2022,Relationships
2,A love story about the power of art as organizing,Aja Monet and phillip agnew,Feb 2019,Relationships
3,Is it really that bad to marry my cousin?,Mona Chalabi,Nov 2021,Relationships
3,The necessity of normalizing queer love,Panti Bliss,Jun 2020,Relationships
3,"The legend of Annapurna, Hindu goddess of nourishment ",Antara Raychaudhuri and Iseult Gillespie,Feb 2020,Relationships
3,A sci-fi vision of love from a 318-year-old hologram,Monica Byrne,May 2016,Relationships
3,The lost art of letter-writing,Lakshmi Pratury,Dec 2007,Relationships
3,Ideas worth dating,Rainn Wilson,Oct 2016,Relationships
3,Rethinking thinking,Trevor Maber,Sep 2018,Relationships
3,A sex therapist's secret to rediscovering your spark,Ian Kerner,Feb 2022,Relationships
3,The uncomplicated truth about women's sexuality,Sarah Barmak,Feb 2019,Relationships
3,This is what LGBT life is like around the world,Jenni Chang and Lisa Dazols,Nov 2015,Relationships
3,Why I photograph the quiet moments of grief and loss,Caroline Catlin,Mar 2021,Relationships
3,What is love?,Brad Troeger,Sep 2013,Relationships
3,What almost dying taught me about living,Suleika Jaouad,Jun 2019,Relationships
3,How to raise kids who can overcome anxiety,Anne Marie Albano,May 2020,Relationships
3,How Dolly Parton led me to an epiphany,Jad Abumrad,Jun 2020,Relationships
3,4 kinds of regret — and what they teach you about yourself,Daniel H. Pink,Feb 2022,Relationships
3,What you discover when you really listen,Hrishikesh Hirway,Oct 2021,Relationships
3,Why do we love? A philosophical inquiry,Skye C. Cleary,Feb 2016,Relationships
3,The difference between healthy and unhealthy love,Katie Hood,May 2019,Relationships
3,How to discover your authentic self — at any age,Bevy Smith,May 2022,Relationships
3,Why people and AI make good business partners,Shervin Khodabandeh,Apr 2022,Relationships
3,How to preserve your private life in the age of social media,Bryce Dallas Howard,Jun 2022,Relationships
3,Sex education should start with consent, Kaz,Feb 2022,Relationships
3,This is what enduring love looks like,Alec Soth and Stacey Baker,Jul 2015,Relationships
3,What makes a good life? Lessons from the longest study on happiness,Robert Waldinger,Dec 2015,Relationships
3,A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,Dec 2016,Relationships
3,The mood-boosting power of crying,Kathy Mendias,Nov 2020,Relationships
3,Love others to love yourself,Keiichiro Hirano,Jul 2018,Relationships
3,What we can do about the culture of hate,Sally Kohn,Mar 2018,Relationships
3,How music can help you find peace after loss,Steven Sharp Nelson,Aug 2021,Relationships
3,How to find meaning after loss,David Kessler,Jun 2021,Relationships
3,"The routines, rituals and boundaries we need in stressful times",Esther Perel,Apr 2021,Relationships
3,The science of attraction,Dawn Maslar,May 2014,Relationships
3,Frida Kahlo: The woman behind the legend,Iseult Gillespie,Mar 2019,Relationships
3,The money talk that every couple needs to have,Wendy De La Rosa,Jan 2021,Relationships
3,3 lessons of revolutionary love in a time of rage,Valarie Kaur,Feb 2018,Relationships
